#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,111,1.05,48.4,99,48.4,99
2,6300,99,3.2,99,51.6,99
3,6.03,1.05,4.74,99,56.4,99
4,4.18,1.03,,,,
