#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,130,1.05,21.8,1.56,21.8,1.56
2,4090,99,19.9,1.71,41.7,1.03
3,5.58,1.05,18.5,1.1,60.2,1.06
4,4.3,1.03,,,,
