#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,60.8,1.1,6.27,9.48,6.27,9.48
2,677,99,7.04,99,13.3,1.3
3,9.02,1.15,14.1,1.23,27.5,1.32
4,4.66,1.01,,,,
