#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,46.9,1.12,10.7,1.76,10.7,1.76
2,435,99,25.5,1.42,36.1,1.08
3,6.19,1.25,15.6,1.27,51.8,1.12
4,4.33,1.04,,,,
