#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,92,1.13,17.1,7.23,17.1,7.23
2,491,99,25.1,99,42.2,2.01
3,10.5,99,7.71,99,49.9,1.7
4,5.09,1.02,,,,
