#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,107,1.24,10.2,1.79,10.2,1.79
2,4000,99,38,1.21,48.2,1.03
3,5.13,1.09,11.2,1.21,59.5,1.05
4,5.08,1.02,,,,
