#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,18,2.26,3.02,1.63,3.02,1.63
2,948,99,20.8,1.18,23.8,1.17
3,8.92,1.39,13,1.13,36.8,1.1
4,5,1.01,,,,
