#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,119,1.16,12.5,1.57,12.5,1.57
2,3760,99,33,1.22,45.5,1.03
3,6.67,1.14,14.3,1.19,59.8,1.03
4,4.58,1.02,,,,
