#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,68.7,1.08,15.8,2.49,15.8,2.49
2,685,99,20.5,2.8,36.4,1.19
3,7.57,1.8,12.2,1.25,48.5,1.07
4,4.85,1.02,,,,
