#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,155,1.05,43,99,43,99
2,5920,99,3.8,99,46.8,2.13
3,5.99,1.05,5.55,99,52.4,4.73
4,4.21,1.03,,,,
