#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,142,1.05,40.8,99,40.8,99
2,6170,99,2.51,99,43.4,1.4
3,6.47,1.04,43.9,1.34,87.3,1.7
4,4.32,1.03,,,,
