#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,112,1.05,48,99,48,99
2,6040,99,3.17,99,51.2,99
3,6.04,1.05,4.93,99,56.1,99
4,4.19,1.03,,,,
