#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,138,1.65,12.2,99,12.2,99
2,357,99,27.1,3.04,39.3,1.03
3,9.35,1.42,13.1,1.19,52.4,1.2
4,4.38,1.04,113,1.15,166,1.07
5,2.36,1.51,,,,
