#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,76.5,1.09,16,4.08,16,4.08
2,738,99,15.8,6.61,31.8,1.24
3,8.77,1.53,13.9,1.33,45.7,1.26
4,5.05,1.02,,,,
