#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,129,1.02,35.2,99,35.2,99
2,1170,99,10,99,45.3,3.04
3,4.49,2.28,11.6,2.11,56.9,2.11
4,4.74,1.04,,,,
