#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,280,99,8.72,99,8.72,99
2,152,1.69,31.3,3.5,40,1.04
3,1.79,1.02,32.7,1.07,72.7,1.09
4,269,99,,,,
