#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,38.3,1.41,8.34,3.98,8.34,3.98
2,875,99,17.3,3.34,25.7,1.38
3,7.28,1.7,13.6,1.26,39.2,1.12
4,4.98,1.02,,,,
