#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,62.6,1.34,6.35,1.76,6.35,1.76
2,4830,99,42.2,1.12,48.5,1.03
3,9.11,1.19,13.8,1.16,62.3,1.04
4,5.18,1.02,,,,
