#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,54.4,1.1,12,3.54,12,3.54
2,560,99,13.3,5.3,25.3,1.28
3,7.79,1.18,18,1.17,43.3,1.17
4,4.31,1.02,,,,
