#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,102,1.16,16.4,5.78,16.4,5.78
2,538,99,23.4,6.4,39.8,1.38
3,10.4,4.64,11.7,2.18,51.4,1.42
4,4.93,1.02,,,,
