#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,198,1.41,21.8,99,21.8,99
2,5030,99,27.3,99,49.1,1.05
3,9.27,99,12.1,99,61.1,10.3
4,4.77,99,,,,
