#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,45.3,1.12,10.6,1.59,10.6,1.59
2,1140,99,25.5,1.3,36.2,1.05
3,5.81,1.11,22.2,1.18,58.4,1.09
4,4,1.05,,,,
