#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,166,1.12,21,5.06,21,5.06
2,722,99,21.1,5.22,42.1,1.03
3,6,1.29,12.4,1.25,54.5,1.17
4,4.17,1.03,,,,
