#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,114,1.22,14.1,99,14.1,99
2,120,1.2,30.2,99,44.3,1.02
3,5.24,1.02,94.1,99,138,3.04
4,5.33,1.22,,,,
