#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,66.5,1.05,47.3,7.17,47.3,7.17
2,6480,99,2.6,99,49.9,1.17
3,6.12,1.05,7.63,99,57.6,2.04
4,4.26,1.03,,,,
