#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,138,1.61,9.28,3.75,9.28,3.75
2,963,99,33.8,1.52,43.1,1.04
3,4.73,1.03,94.2,1.27,137,1.19
4,3.71,1.33,,,,
