#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,65.5,1.07,16,2.4,16,2.4
2,619,99,22.5,2.82,38.6,1.25
3,7.52,2.92,10.9,1.38,49.5,1.05
4,4.89,1.02,,,,
