#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,188,3.89,14.9,99,14.9,99
2,288,99,14.2,99,29.1,10.5
3,116,99,14.9,99,44.1,99
4,5.31,1.05,115,1.39,159,3.93
5,12,4.33,,,,
