#,Res,ResSTD,Thk,ThkSTD,Dep,DepSTD
1,76.8,1.04,20.6,99,20.6,99
2,869,99,2.97,99,23.6,2.3
3,11.1,2.08,13.6,99,37.2,5.85
4,5.04,1.04,,,,
